id,name,sku
3224,10000,10000
3221,"8.25"" Super Giant White with Red & Yellow Stripes Plain Paper Wrapped",10001
5774,"10.25"" Giant Blue Logo'd Paper Wrapped Straw 4/300 Pack Size",10002
5785,"8"" Red Stirrer Paper Wrapped Straw",10003
5760,"SBUX011113010 - 7.75"" Jumbo Green ADA Printed Wrapped Straw 20/100 Pack Size",10008
5762,"SBUX011113007 - 10.25"" Giant Green ADA Printed Wrapped Straw 20/100 Pack Size",10009
5764,"8"" Stirrer Red Straw",10010
5767,"10.25"" Giant Blue Paper Wrapped Straw 4/300 Pack Size",10011
5769,"10.25"" Giant Blue Logo'd Paper Wrapped Straw 4/300 Pack Size",10012
1006,"7.75"" PP Giant Red Paper Wrapped Boxed Straw",10013
5967,"Repack: 10.25"" Giant Red Cello Wrapped Spoon Boxed Straw",10014
5809,PHA Spoon Unwrapped,110001
5812,PHA Knife Unwrapped,110002
5815,PHA Fork Unwrapped,110003
5776,"6"" Natural PHA Spoon Wrapped 500 Bulk",110004
5781,"6"" Natural PHA Fork Wrapped 500 Bulk",110005
5779,"6"" Natural PHA Knife Wrapped 500 Bulk",110006
4725,302 X 1002 LABELED CANS FOR MARSHMALLOWS 17/10 CLR HDPE - GLUED,1110000
4726,1 Liter Mixer bottle Glass 12/case,1111001
4727,5110 Flint 750mL Glass 10177-70243 12/CS,1111002
4728,28-400 750ml clear Glass bottle 12/cs #5110,1111003
4729,375ML FLT CLARET PUNTED 28/400 FINISH PUSH/ PULL 10177-70204,1111004
4730,375ml glass bottle,1111005
4731,1 L Glass Custom Bottle for Moctezuma's Grendeza Margaritas,1111006
4732,375ML GLASS ETCHED PROPER SYRUP VANILLA,1111007
4733,375ML GLASS ETCHED PROPER SYRUP LAVENDER,1111008
4734,375ML GLASS ETCHED PROPER SYRUP PUMPKIN SPICE,1111009
5746,375ML GLASS ETCHED PROPER SYRUP CANE SUGAR,1111010
4735,375ML GLASS ETCHED PROPER SYRUP CARAMEL,1111011
4736,375ML GLASS ETCHED PROPER SYRUP HAZELNUT,1111012
4737,375ML GLASS ETCHED PROPER SYRUP STRAWBERRY,1111013
4738,375ML GLASS ETCHED PROPER SYRUP PISTACHIO,1111014
4739,375ML GLASS ETCHED PROPER SYRUP SALTED CARAMEL,1111015
